Column1,Column2,Column3,Column4,Column5,Column6
Scharmuetzelsee,,Rathsburgsee,,Schulzensee,
X,Y,X,Y,X,Y
7.122222222222222,2.634615384615385,1.388888888888888,0.019230769230771827,2.344444444444443,0.057692307692303046
8.133333333333335,2.42307692307692,1.5999999999999996,0.019230769230771827,3.3999999999999995,0.17307692307692868
8.822222222222223,3.1634615384615294,1.988888888888888,0.019230769230771827,4.488888888888889,0.3557692307692335
9.088888888888889,3.480769230769228,,,5.3,0.5384615384615437
9.533333333333335,3.4326923076923137,,,6.4222222222222225,0.836538461538467
10.11111111111111,2.55769230769231,,,7.544444444444444,1.653846153846164
8.766666666666667,1.6538461538461497,,,8.722222222222223,2.35576923076923
9.244444444444444,1.1153846153846114,,,9.600000000000005,4.442307692307693
11.877777777777775,4.451923076923078,,,10.522222222222227,5.673076923076925
7.088888888888889,0.8173076923076863,,,12.122222222222215,6.278846153846155
7.022222222222222,0.7403846153846168,,,13.111111111111112,7.30769230769231
6.122222222222222,0.7980769230769251,,,15.233333333333324,7.5961538461538485
5.800000000000001,0.5480769230769198,,,13.777777777777786,11.144230769230772
5.433333333333334,0.4326923076923066,,,,
5.022222222222222,0.2692307692307647,,,,
4.022222222222222,0.20192307692307665,,,,
3.877777777777778,0.40384615384616573,,,,
3.5777777777777766,0.48076923076924594,,,,
3.01111111111111,0.13461538461537437,,,,
2.633333333333333,0.048076923076910916,,,,
1.5777777777777775,0.0769230769230802,,,,
,,,,,
52.245774, 14.054017,, 53.201753, 13.951959 ,, 53.247254, 13.274586 ,
52.250000, 14.050000,,,,,
