scharmuetzel,
X,Y
16.610486891385772,5.060483870967742
17.209737827715358,3.7701612903225805
25.99250936329587,5.048387096774194
26.441947565543067,5.056451612903226
26.573033707865168,4.439516129032258
24.101123595505623,4.350806451612903
23.801498127340828,4.07258064516129
22.490636704119858,3.467741935483872
22.883895131086142,3.4475806451612914
23.10861423220973,3.548387096774192
20.39325842696629,3.032258064516131
22.77153558052434,3.092741935483871
24.101123595505616,2.963709677419355
22.921348314606742,2.9032258064516134
22.977528089887645,2.762096774193548
25.14981273408239,2.6895161290322585
25.599250936329582,2.237903225806453
25.992509363295884,2.09274193548387
24.49438202247191,1.879032258064516
22.228464419475664,2.125
22.19101123595506,2.4637096774193536
19.66292134831461,2.669354838709678
22.434456928838966,1.8427419354838719
15.749063670411992,2.1491935483870965
17.958801498127357,1.620967741935483
19.981273408239698,1.6895161290322571
20.037453183520597,1.608870967741936
20.299625468164766,1.620967741935484
20.131086142322086,1.1088709677419377
19.719101123595497,0.9798387096774217
19.7191011235955,0.830645161290323
18.70786516853933,0.8306451612903221
18.35205992509364,0.8024193548387109
18.08988764044944,1.040322580645161
17.808988764044937,0.729838709677419
17.28464419475655,0.661290322580645
17.097378277153563,0.7661290322580641
16.048689138576783,1.2056451612903212
14.363295880149817,1.4072580645161272
14.363295880149817,1.28225806451613
14.400749063670414,1.052419354838709
15.393258426966277,0.9677419354838719
14.906367041198497,0.8588709677419368
13.258426966292138,1.145161290322581
16.048689138576783,0.5685483870967758
15.63670411985019,0.42741935483870996
13.670411985018726,0.6733870967741966
13.239700374531834,0.5685483870967758
13.670411985018726,0.37096774193548576
12.883895131086145,0.3104838709677411
12.34082397003747,0.4032258064516103
12.565543071161049,0.5120967741935472
12.996254681647933,0.5120967741935472
11.704119850187267,0.6451612903225792
11.292134831460675,0.5564516129032251
10.805243445692879,0.532258064516129
11.179775280898873,0.49193548387096886
11.292134831460674,0.42741935483870996
11.741573033707857,0.39112903225806583
12.134831460674153,0.33870967741935587
10.749063670411985,0.35887096774193505
10.524344569288392,0.36290322580645107
10.449438202247192,0.41129032258064413
10.149812734082401,0.318548387096774
9.64419475655431,0.318548387096774
9.644194756554308,0.22580645161290303
9.288389513108616,0.20967741935483808
9.232209737827715,0.26209677419354804
8.651685393258427,0.26209677419354804
8.764044943820222,0.20967741935483808
8.48314606741573,0.16129032258064502
8.071161048689136,0.15725806451612812
7.827715355805244,0.1814516129032242
7.752808988764043,0.3790322580645151
7.097378277153554,0.24193548387096797
6.329588014981274,0.18145161290322687
7.734082397003748,0.08467741935483808
7.378277153558052,0.10887096774193594
6.966292134831461,0.16935483870967794
6.722846441947565,0.11693548387096708
6.348314606741571,0.0645161290322589
5.786516853932582,0.016129032258064946
5.655430711610485,0.09677419354838701
6.086142322097379,0.11290322580645107
6.198501872659177,0.05645161290322598
5.187265917602999,0.0887096774193541
5.243445692883896,0.044354838709677935
4.625468164794006,0.07661290322580605
4.7378277153558015,0.028225806451613877
4.232209737827719,0.02822580645161299
4.101123595505619,0.05645161290322509
3.764044943820225,0.00806451612903114
3.745318352059927,0.03629032258064502
3.0524344569288404,0.020161290322580072
3.2958801498127306,0.004032258064516014
3.239700374531833,0.0282258064516121
