scharmu,
X,Y
4.8100000000000005,0.04992295839753469
3.295,0.009938366718027725
3.26,0.01987673343605545
3.6500000000000004,0.019876733436055505
3.7049999999999996,0.01987673343605545
4.155,0.03004622496147924
4.16,0.039984591679506964
4.785,0.059861325115562414
5.25,0.04992295839753469
5.789999999999999,0.060092449922958424
6.185,0.0899075500770416
6.175,0.11995377503852078
6.784999999999999,0.12989214175654856
6.744999999999999,0.11001540832049306
7.199999999999999,0.13012326656394452
7.29,0.15
7.689999999999999,0.18998459167950693
8.514999999999999,0.14006163328197224
8.639999999999999,0.15993836671802772
7.695,0.24013867488443763
8.235,0.2401386748844376
8.709999999999999,0.2699537750385208
9.524999999999999,0.25007704160246536
